#0048BA Absolute zero
#006B3C Cadmium green
#ED872D Cadmium orange
#B60C26 Cadmium Purple
#E30022 Cadmium red
#FFF600 Cadmium yellow
#7F3E98 Cadmium violet
#A67B5B CafÃ© au lait
#4B3621 CafÃ© noir
#1E4D2B Cal Poly Pomona green
#FCFFA4 Calamansi
#A3C1AD Cambridge Blue
#C19A6B Camel
#EFBBCC Cameo pink
#78866B Camouflage green
#FFFF99 Canary
#FFEF00 Canary yellow
#FF0800 Candy apple red
#E4717A Candy pink
#00BFFF Capri
#592720 Caput mortuum
#FFD59A Caramel
#C41E3A Cardinal
#00CC99 Caribbean green
#960018 Carmine
#D70040 Carmine (M&P)
#EB4C42 Carmine pink
#FF0038 Carmine red
#FFA6C9 Carnation pink
#B31B1B Carnelian
#56A0D3 Carolina blue
#ED9121 Carrot orange
#00563F Castleton green
#062A78 Catalina blue
#703642 Catawba
#C95A49 Cedar Chest
#92A1CF Ceil
#ACE1AF Celadon
#007BA7 Celadon blue
#2F847C Celadon green
#B2FFFF Celeste
#4997D0 Celestial blue
#246BCE Celtic Blue
#DE3163 Cerise
#EC3B83 Cerise pink
#007BA7 Cerulean
#2A52BE Cerulean blue
#001440 Cetacean blue
#6D9BC3 Cerulean frost
#1DACD6 Cerulean (Crayola)
#007AA5 CG Blue
#E03C31 CG Red
#A0785A Chamoisee
#F7E7CE Champagne
#F1DDCF Champagne pink
#36454F Charcoal
#232B2B Charleston green
#D0748B Charm
#E68FAC Charm pink
#DFFF00 Chartreuse (traditional)
#7FFF00 Chartreuse (web)
#FFA600 Cheese
#DE3163 Cherry
#FFB7C5 Cherry blossom pink
#954535 Chestnut
#DE6FA1 China pink
#A8516E China rose
#141414 Chinese black
#365194 Chinese blue
#CD8032 Chinese bronze
#AB381F Chinese brown
#D0DB61 Chinese green
#CC9900 Chinese gold
#F37042 Chinese orange
#DE70A1 Chinese pink
#720B98 Chinese purple
#CD071E Chinese red
#AA381E Chinese red
#CCCCCC Chinese silver
#856088 Chinese violet
#E2E5DE Chinese white
#FFB200 Chinese yellow
#4AFF00 Chlorophyll green
#3F000F Chocolate Brown
#58111A Chocolate Cosmos
#3C1421 Chocolate Kisses
#7B3F00 Chocolate (traditional)
#D2691E Chocolate (web)
#2A8FBD Christmas blue
#365194 Christmas blue
#5D2B2C Christmas brown
#4C1F02 Christmas brown
#3C8D0D Christmas green
#007502 Christmas green
#CAA906 Christmas gold
#FF6600 Christmas orange
#D56C2B Christmas orange
#FFCCCB Christmas pink
#E34285 Christmas pink
#663398 Christmas purple
#4D084B Christmas purple
#AA0114 Christmas red
#B01B2E Christmas red
#E1DFE0 Christmas silver
#FFCC00 Christmas yellow
#FEF200 Christmas yellow
#FFA700 Chrome yellow
#98817B Cinereous
#E34234 Cinnabar
#D2691E Cinnamon
#CD607E Cinnamon Satin
#E4D00A Citrine
#933709 Citrine Brown
#9FA91F Citron
#7F1734 Claret
#FBCCE7 Classic rose
#0047AB Cobalt Blue
#D2691E Cocoa brown
#965A3E Coconut
#6F4E37 Coffee
#3C3024 Cola
#C4D8E2 Columbia Blue
#FFFFCC Conditioner
#F88379 Congo pink
#002E63 Cool Black
#8C92AC Cool grey
#EEE0B1 Cookies and cream
#B87333 Copper
#DA8A67 Copper (Crayola)
#AD6F69 Copper penny
#CB6D51 Copper red
#996666 Copper rose
#FF3800 Coquelicot
#FF7F50 Coral
#F88379 Coral pink
#FF4040 Coral red
#FD7C6E Coral Reef
#893F45 Cordovan
#FBEC5D Corn
#B31B1B Cornell Red
#6495ED Cornflower blue
#93CCEA Cornflower
#FFF8DC Cornsilk
#2E2D88 Cosmic Cobalt
#FFF8E7 Cosmic latte
#81613C Coyote brown
#FFBCD9 Cotton candy
#FFFDD0 Cream
#DC143C Crimson
#BE0032 Crimson glory
#990000 Crimson red
#A7D8DE Crystal
#68A0B0 Crystal blue
#F5F5F5 Cultured
#00FFFF Cyan
#4E82B4 Cyan azure
#4682BF Cyan-blue azure
#28589C Cyan cobalt blue
#188BC2 Cyan cornflower blue
#00B7EB Cyan (process)
#58427C Cyber grape
#FFD300 Cyber yellow
#F56FA1 Cyclamen
#FFFF31 Daffodil
#F0E130 Dandelion
#FDDB6D Dandelion (Crayola)
#00008B Dark blue
#666699 Dark blue-gray
#804A00 Dark bronze
#514100 Dark bronze (Coin)
#654321 Dark brown
#88654E Dark brown-tangelo
#5D3954 Dark byzantium
#A40000 Dark candy apple red
#08457E Dark cerulean
#333333 Dark charcoal
#986960 Dark chestnut
#490206 Dark chocolate
#3C1321 Dark chocolate (Hershey's)
#26428B Dark cornflower blue
#CD5B45 Dark coral
#008B8B Dark cyan
#536878 Dark electric blue
#AA6C39 Dark gold
#B8860B Dark goldenrod
#A9A9A9 Dark gray (X11)
#013220 Dark green
#006400 Dark green (X11)
#1F262A Dark gunmetal
#00416A Dark imperial blue
#00147E Dark imperial blue
#1A2421 Dark jungle green
#BDB76B Dark khaki
#483C32 Dark lava
#734F96 Dark lavender
#8BBE1B Dark lemon lime
#534B4F Dark liver
#543D37 Dark liver (horses)
#8B008B Dark magenta
#A9A9A9 Dark medium gray
#003366 Dark midnight blue
#4A5D23 Dark moss green
#556B2F Dark olive green
#FF8C00 Dark orange
#9932CC Dark orchid
#779ECB Dark pastel blue
#03C03C Dark pastel green
#966FD6 Dark pastel purple
#C23B22 Dark pastel red
#E75480 Dark pink
#003399 Dark powder blue
#4F3A3C Dark puce
#301934 Dark purple
#872657 Dark raspberry
#8B0000 Dark red
#E9967A Dark salmon
#560319 Dark scarlet
#8FBC8F Dark sea green
#3C1414 Dark sienna
#71706E Dark silver
#8CBED6 Dark sky blue
#483D8B Dark slate blue
#2F4F4F Dark slate gray
#177245 Dark spring green
#918151 Dark tan
#FFA812 Dark tangerine
#483C32 Dark taupe
#CC4E5C Dark terra cotta
#00CED1 Dark turquoise
#D1BEA8 Dark vanilla
#9400D3 Dark violet
#9B870C Dark yellow
#00703C Dartmouth green
#555555 Davy's grey
#D70A53 Debian red
#9C8AA4 Deep amethyst
#40826D Deep aquamarine
#A9203E Deep carmine
#EF3038 Deep carmine pink
#E9692C Deep carrot orange
#DA3287 Deep cerise
#FAD6A5 Deep champagne
#B94E48 Deep chestnut
#704241 Deep coffee
#C154C1 Deep fuchsia
#056608 Deep Green
#0E7C61 Deep green-cyan turquoise
#004B49 Deep jungle green
#333366 Deep koamaru
#F5C71A Deep lemon
#9955BB Deep lilac
#CC00CC Deep magenta
#820000 Deep maroon
#D473D4 Deep mauve
#355E3B Deep moss green
#FFCBA4 Deep peach
#FF1493 Deep pink
#A95C68 Deep puce
#850101 Deep Red
#843F5B Deep ruby
#FF9933 Deep saffron
#00BFFF Deep sky blue
#4A646C Deep Space Sparkle
#556B2F Deep spring bud
#7E5E60 Deep Taupe
#66424D Deep Tuscan red
#330066 Deep violet
#BA8759 Deer
#1560BD Denim
#2243B6 Denim Blue
#669999 Desaturated cyan
#C19A6B Desert
#EDC9AF Desert sand
#EA3C53 Desire
#B9F2FF Diamond
#696969 Dim gray
#C53151 Dingy Dungeon
#9B7653 Dirt
#B5651E Dirty brown
#E8E4C9 Dirty white
#1E90FF Dodger blue
#FEF65B Dodie yellow
#D71868 Dogwood rose
#85BB65 Dollar bill
#828E84 Dolphin Gray
#664C28 Donkey brown
#967117 Drab
#00009C Duke blue
#E5CCC9 Dust storm
#EFDFBB Dutch white
#E1A95F Earth yellow
#555D50 Ebony
#C2B280 Ecru
#1B1B1B Eerie black
#614051 Eggplant
#F0EAD6 Eggshell
#1034A6 Egyptian blue
#7DF9FF Electric blue
#B56257 Electric brown
#FF003F Electric crimson
#00FFFF Electric cyan
#00FF00 Electric green
#6F00FF Electric indigo
#F4BBFF Electric lavender
#CCFF00 Electric lime
#FF3503 Electric orange
#F62681 Electric pink
#BF00FF Electric purple
#E60000 Electric red
#3F00FF Electric ultramarine
#8F00FF Electric violet
#FFFF33 Electric yellow
#50C878 Emerald
#046307 Emerald green
#6C3082 Eminence
#1B4D3E English green
#B48395 English lavender
#AB4B52 English red
#CC474B English vermillion
#563C5C English violet
#96C8A2 Eton blue
#44D7A8 Eucalyptus
#C19A6B Fallow
#801818 Falu red
#B53389 Fandango
#DE5285 Fandango pink
#F400A1 Fashion fuchsia
#E5AA70 Fawn
#4D5D53 Feldgrau
#FDD5B1 Feldspar
#4F7942 Fern green
#FF2800 Ferrari Red
#6C541E Field drab
#FF5470 Fiery Rose
#B22222 Firebrick
#CE2029 Fire engine red
#E95C4B Fire opal
#E25822 Flame
#FC8EAC Flamingo pink
#6B4423 Flattery
#F7E98E Flavescent
#EEDC82 Flax
#FFE9D1 Flesh
#A2006D Flirt
#FFFAF0 Floral white
#15F4EE Fluorescent blue
#FFBF00 Fluorescent orange
#FF1493 Fluorescent pink
#CCFF00 Fluorescent yellow
#FF004F Folly
#5FA777 Forest green (Crayola)
#014421 Forest green (traditional)
#228B22 Forest green (web)
#A67B5B French beige
#856D4D French bistre
#0072BB French blue
#FD3F92 French fuchsia
#86608E French lilac
#9EFD38 French lime
#D473D4 French mauve
#FD6C9E French pink
#811453 French plum
#4E1609 French puce
#C72C48 French raspberry
#F64A8A French rose
#77B5FE French sky blue
#8806CE French violet
#AC1E44 French wine
#A6E7FF Fresh Air
#E936A7 Frostbite
#FF00FF Fuchsia
#C154C1 Fuchsia (Crayola)
#FF77FF Fuchsia pink
#CC397B Fuchsia purple
#C74375 Fuchsia rose
#E48400 Fulvous
#CC6666 Fuzzy Wuzzy
#DCDCDC Gainsboro
#E49B0F Gamboge
#996600 Gamboge orange (brown)
#733635 Garnet
#FFDF46 Gargoyle Gas
#007F66 Generic viridian
#F8F8FF Ghost white
#B05C52 Giant's Club
#FE5A1D Giants orange
#D8E4BC Gin
#6082B6 Glaucous
#AB92B3 Glossy Grape
#00AB66 GO green
#A57C00 Gold
#D4AF37 Gold (metallic)
#FFD700 Gold (web) (Golden)
#E6BE8A Gold (Crayola)
#85754E Gold Fusion
#BD9B16 Gold foil
#996515 Golden brown
#FCC200 Golden poppy
#FFDF00 Golden yellow
#DAA520 Goldenrod
#676767 Granite Gray
#A8E4A0 Granny Smith Apple
#6F2DA8 Grape
#808080 Gray (HTML/CSS gray)
#BEBEBE Gray (X11 gray)
#465945 Gray-asparagus
#8C92AC Gray-blue
#008001 Green
#00FF00 GreenWheel
#1CAC78 Green (Crayola)
#008000 Green (HTML/CSS color)
#00A877 Green (Munsell)
#009F6B Green (NCS)
#00AD43 Green (Pantone)
#00A550 Green (pigment)
#66B032 Green (RYB)
#1164B4 Green-blue
#2887C8 Green-blue (Crayola)
#4C721D Green Cola
#009966 Green-cyan
#A7F432 Green Lizard
#6EAEA1 Green Sheen
#ADFF2F Green-yellow
#F0E891 Green-yellow (Crayola)
#A99A86 Grullo
#00FF7F Guppie green
#2a3439 Gunmetal
#F8F8F8 Guyabano
#663854 HalayÃ  Ãºbe
#EB6123 Halloween orange
#446CCF Han blue
#5218FA Han purple
#E9D66B Hansa yellow
#3FFF00 Harlequin
#46CB18 Harlequin green
#C90016 Harvard crimson
#DA9100 Harvest gold
#808000 Heart Gold
#FF7A00 Heat Wave
#960018 Heidelberg Red
#DF73FF Heliotrope
#AA98A9 Heliotrope gray
#AA00BB Heliotrope magenta
#F400A1 Hollywood cerise
#F0FFF0 Honeydew
#006DB0 Honolulu blue
#49796B Hooker's green
#FF1DCE Hot magenta
#FF69B4 Hot pink
#355E3B Hunter green
#71A6D2 Iceberg
#923C01 Iced tea
#FCF75E Icterine
#71BC78 Iguana Green
#319177 Illuminating Emerald
#602F6B Imperial
#002395 Imperial blue
#66023C Imperial purple
#ED2939 Imperial red
#B2EC5D Inchworm
#4C516D Independence
#138808 India green
#CD5C5C Indian red
#E3A857 Indian yellow
#4B0082 Indigo
#091F92 Indigo dye
#4F69C6 Indigo (Crayola)
#233067 Indigo (Rainbow)
#4B0082 Indigo (web)
#FF496C Infra Red
#360CCC Interdimensional Blue
#002FA7 International Klein Blue
#FF4F00 International orange (aerospace)
#BA160C International orange (engineering)
#C0362C International orange (Golden Gate Bridge)
#5A4FCF Iris
#B3446C Irresistible
#F4F0EC Isabelline
#009000 Islamic green
#B2FFFF Italian sky blue
#FFFFF0 Ivory
#3D325D Jacarta|link target=J
#413628 Jacko bean
#00A86B Jade
#9D2933 Japanese carmine
#264348 Japanese indigo
#2F7532 Japanese Laurel
#5B3256 Japanese violet
#F8DE7E Jasmine
#D73B3E Jasper
#DE8F4E Jasper Orange
#A50B5E Jazzberry jam
#DA614E Jelly Bean
#44798E Jelly Bean Blue
#343434 Jet
#BBD0C9 Jet Stream
#F4CA16 Jonquil
#8AB9F1 Jordy blue
#BDDA57 June bud
#29AB87 Jungle green
#4CBB17 Kelly green
#7C1C05 Kenyan copper
#3AB09E Keppel
#E8F48C Key Lime
#C3B091 Khaki (HTML/CSS) (Khaki)
#F0E68C Khaki (X11) (Light khaki)
#8EE53F Kiwi
#882D17 Kobe
#E79FC4 Kobi
#6B4423 Kobicha
#354230 Kombu green
#512888 KSU Purple
#E8000D KU Crimson
#087830 La Salle Green
#D6CADD Languid lavender
#E0BC5B Lanzones
#26619C Lapis lazuli
#FFFF66 Laser Lemon
#A9BA9D Laurel green
#CF1020 Lava
#B57EDC Lavender (floral)
#E6E6FA Lavender (web)
#CCCCFF Lavender blue
#FFF0F5 Lavender blush
#C4C3D0 Lavender gray
#9457EB Lavender indigo
#EE82EE Lavender magenta
#E6E6FA Lavender mist
#FBAED2 Lavender pink
#967BB6 Lavender purple
#FBA0E3 Lavender rose
#7CFC00 Lawn green
#FFF700 Lemon
#FFFACD Lemon chiffon
#CCA01D Lemon curry
#FDFF00 Lemon glacier
#BD3000 Lemon iced tea
#E3FF00 Lemon lime
#5CFF67 Lemon lime
#F6EABE Lemon meringue
#FFF44F Lemon yellow
#FFFF9F Lemon yellow (Crayola)
#BA93D8 Lenurple
#545AA7 Liberty
#1A1110 Licorice
#FDD5B1 Light apricot
#ADD8E6 Light blue
#B5651D Light brown
#E66771 Light carmine pink
#551F2F Light Chocolate Cosmos
#88ACE0 Light cobalt blue
#F08080 Light coral
#93CCEA Light cornflower blue
#F56991 Light crimson
#E0FFFF Light cyan
#FF5CCD Light deep pink
#C8AD7F Light French beige
#F984EF Light fuchsia pink
#B29700 Light gold
#FAFAD2 Light goldenrod yellow
#D3D3D3 Light gray
#CC99CC Light grayish magenta
#90EE90 Light green
#FFB3DE Light hot pink
#F0E68C Light khaki
#D39BCB Light medium orchid
#ADDFAD Light moss green
#FED8B1 Light orange
#E6A8D7 Light orchid
#B19CD9 Light pastel purple
#C5CBE1 Light periwinkle
#FFB6C1 Light pink
#FFCCCB Light red
#E97451 Light red ochre
#FFA07A Light salmon
#FF9999 Light salmon pink
#20B2AA Light sea green
#D8D8D8 Light silver
#87CEFA Light sky blue
#778899 Light slate gray
#B0C4DE Light steel blue
#B38B6D Light taupe
#E68FAC Light Thulian pink
#FFFFE0 Light yellow
#C8A2C8 Lilac
#AE98AA Lilac Luster
#BFFF00 Lime (color wheel)
#00FF00 Lime (web) (X11 green)
#32CD32 Lime green
#9DC209 Limerick
#195905 Lincoln green
#FAF0E6 Linen
#C19A6B Lion
#DE6FA1 Liseran Purple
#6CA0DC Little boy blue
#F8B9D4 Little girl pink
#674C47 Liver
#B86D29 Liver (dogs)
#6C2E1F Liver (organ)
#987456 Liver chestnut
#6699CC Livid
#FEFDFA Lotion
#15F2FD Lotion blue
#ECCFCF Lotion pink
#FFE4CD Lumber
#E62020 Lust
#001C3D Maastricht Blue
#FFBD88 Macaroni and Cheese
#CC3336 Madder Lake
#FF00FF Magenta
#FF55A3 Magenta (Crayola)
#CA1F7B Magenta (dye)
#D0417E Magenta (Pantone)
#FF0090 Magenta (process)
#9F4576 Magenta haze
#CC338B Magenta-pink
#AAF0D1 Magic mint
#FF4466 Magic Potion
#F8F4FF Magnolia
#C04000 Mahogany
#CA3435 Mahogany (Crayola)
#FBEC5D Maize
#F2C649 Maize (Crayola)
#6050DC Majorelle Blue
#0BDA51 Malachite
#979AAA Manatee
#F37A48 Mandarin
#FDBE02 Mango
#96FF00 Mango green
#FF8243 Mango Tango
#74C365 Mantis
#880085 Mardi Gras
#EAA221 Marigold
#C32148 Maroon (Crayola)
#800000 Maroon (HTML/CSS)
#B03060 Maroon (X11)
#E0B0FF Mauve
#915F6D Mauve taupe
#EF98AA Mauvelous
#47ABCC Maximum Blue
#30BFBF Maximum Blue Green
#ACACE6 Maximum Blue Purple
#5E8C31 Maximum Green
#D9E650 Maximum Green Yellow
#FF5B00 Maximum orange
#733380 Maximum Purple
#F6A5F2 Maximum pink
#D92121 Maximum red
#A63A79 Maximum Red Purple
#892F77 Maximum violet
#FAFA37 Maximum Yellow
#F2BA49 Maximum Yellow Red
#4C9141 May green
#73C2FB Maya blue
#E5B73B Meat brown
#66DDAA Medium aquamarine
#0000CD Medium blue
#E2062C Medium candy apple red
#AF4035 Medium carmine
#F3E5AB Medium champagne
#035096 Medium electric blue
#037949 Medium green
#1C352D Medium jungle green
#DDA0DD Medium lavender magenta
#FF7802 Medium orange
#BA55D3 Medium orchid
#0067A5 Medium Persian blue
#FE6E9F Medium pink
#9370DB Medium purple
#B10304 Medium red
#BB3385 Medium red-violet
#AA4069 Medium ruby
#3CB371 Medium sea green
#80DAEB Medium sky blue
#7B68EE Medium slate blue
#C9DC87 Medium spring bud
#00FA9A Medium spring green
#674C47 Medium taupe
#48D1CC Medium turquoise
#79443B Medium Tuscan red
#D9603B Medium vermilion
#65315F Medium violet
#C71585 Medium violet-red
#FFE302 Medium yellow
#F8B878 Mellow apricot
#F8DE7E Mellow yellow
#FDBCB4 Melon
#FEBAAD Melon (Crayola)
#C1F9A2 Menthol
#32527B Metallic blue
#A97142 Metallic bronze
#AC4313 Metallic brown
#A97142 Metallic gold
#296E01 Metallic green
#DA680F Metallic orange
#EDA6C4 Metallic pink
#A62C2B Metallic red
#0A7E8C Metallic Seaweed
#A8A9AD Metallic silver
#9C7C38 Metallic Sunburst
#5B0A91 Metallic violet
#FDCC0D Metallic yellow
#E4007C Mexican pink
#7ED4E6 Middle Blue
#8DD9CC Middle Blue Green
#8B72BE Middle Blue Purple
#8B8680 Middle Grey
#4D8C57 Middle Green
#ACBF60 Middle Green Yellow
#D982B5 Middle Purple
#E58E73 Middle Red
#A55353 Middle Red Purple
#FFEB00 Middle Yellow
#ECB176 Middle Yellow Red
#702670 Midnight
#191970 Midnight blue
#00468C Midnight blue
#004953 Midnight green (eagle green)
#FFC40C Mikado yellow
#FDFFF5 Milk
#84563C Milk chocolate
#FFDAE9 Mimi Pink
#E3F988 Mindaro
#36747D Ming
#F5E050 Minion Yellow
#3EB489 Mint
#F5FFFA Mint cream
#98FF98 Mint green
#BBB477 Misty Moss
#FFE4E1 Misty rose
#FAEBD7 Moccasin
#BEA493 Mocha
#967117 Mode beige
#3AA8C1 Moonstone
#73A9C2 Moonstone blue
#AE0C00 Mordant red 19
#8DA399 Morning blue
#8A9A5B Moss green
#30BA8F Mountain Meadow
#997A8D Mountbatten pink
#18453B MSU Green
#70543E Mud
#306030 Mughal green
#C54B8C Mulberry
#C8509B Mulberry (Crayola)
#828E84 Mummy's Tomb
#FFDB58 Mustard
#CD7A00 Mustard brown
#6E6E30 Mustard green
#E1AD01 Mustard yellow
#317873 Myrtle green
#D65282 Mystic
#AD4379 Mystic Maroon
#FF5500 Mystic Red
#F6ADC6 Nadeshiko pink
#2A8000 Napier green
#FADA5E Naples yellow
#FFDEAD Navajo white
#000080 Navy
#000080 Navy blue
#1974D2 Navy Blue (Crayola)
#9457EB Navy purple
#1B03A3 Neon blue
#C3732A Neon brown
#FFA343 Neon Carrot
#00FEFC Neon cyan
#FE4164 Neon fuchsia
#CFAA01 Neon gold
#808080 Neon gray
#008443 Neon dark green
#139B42 Neon green
#39FF14 Neon green
#FE347E Neon pink
#9457EB Neon purple
#FF1818 Neon red
#FF2603 Neon scarlet
#CCCCCC Neon silver
#F6890A Neon tangerine
#FFF700 Neon yellow
#214FC6 New Car
#D7837F New York pink
#727472 Nickel
#A4DDED Non-photo blue
#059033 North Texas Green
#E9FFDB Nyanza
#4F42B5 Ocean Blue
#0077BE Ocean Boat Blue
#48BF91 Ocean Green
#CC7722 Ochre
#008000 Office green
#FD5240 Ogre Odor
#43302E Old burgundy
#CFB53B Old gold
#563C5C Old heliotrope
#FDF5E6 Old lace
#796878 Old lavender
#673147 Old mauve
#867E36 Old moss green
#C08081 Old rose
#848482 Old silver
#808000 Olive
#6B8E23 Olive Drab (#3)
#3C341F Olive Drab #7
#B5B35C Olive green
#9AB973 Olivine
#353839 Onyx
#A8C3BC Opal
#B784A7 Opera mauve
#FF6600 Orange
#FF7F00 Orange (color wheel)
#FF7538 Orange (Crayola)
#FF5800 Orange (Pantone)
#FB9902 Orange (RYB)
#FFA500 Orange (web)
#FF6700 Orange iced tea
#FF9F00 Orange peel
#FF681F Orange-red
#FF5349 Orange-red (Crayola)
#E74E14 Orange soda
#FA5B3D Orange Soda
#F5BD1F Orange-yellow
#F8D568 Orange-yellow (Crayola)
#DA70D6 Orchid
#F2BDCD Orchid pink
#E29CD2 Orchid (Crayola)
#FB4F14 Orioles orange
#654321 Otter brown
#414A4C Outer Space
#2D383A Outer Space (Crayola)
#FF6E4A Outrageous Orange
#800020 Oxblood
#002147 Oxford Blue
#6D9A79 Oxley
#990000 OU Crimson Red
#1CA9C9 Pacific Blue
#006600 Pakistan green
#273BE2 Palatinate blue
#682860 Palatinate purple
#BCD4E6 Pale aqua
#AFEEEE Pale blue
#987654 Pale brown
#AF4035 Pale carmine
#9BC4E2 Pale cerulean
#DDADAF Pale chestnut
#DA8A67 Pale copper
#ABCDEF Pale cornflower blue
#87D3F8 Pale cyan
#E6BE8A Pale gold
#EEE8AA Pale goldenrod
#98FB98 Pale green
#DCD0FF Pale lavender
#F984E5 Pale magenta
#FF99CC Pale magenta-pink
#FADADD Pale pink
#DDA0DD Pale plum
#DB7093 Pale red-violet
#96DED1 Pale robin egg blue
#C9C0BB Pale silver
#ECEBBD Pale spring bud
#BC987E Pale taupe
#AFEEEE Pale turquoise
#CC99FF Pale violet
#DB7093 Pale violet-red
#6F9940 Palm Leaf
#78184A Pansy purple
#009B7D Paolo Veronese green
#FFEFD5 Papaya whip
#E63E62 Paradise pink
#50C878 Paris Green
#D998A0 Parrot Pink
#AEC6CF Pastel blue
#836953 Pastel brown
#CFCFC4 Pastel gray
#77DD77 Pastel green
#F49AC2 Pastel magenta
#FFB347 Pastel orange
